jurisdiction_id,jurisdiction,state,state_name,level,source,source_url,license,notes,mw_1938,mw_1939,mw_1940,mw_1941,mw_1942,mw_1943,mw_1944,mw_1945,mw_1946,mw_1947,mw_1948,mw_1949,mw_1950,mw_1951,mw_1952,mw_1953,mw_1954,mw_1955,mw_1956,mw_1957,mw_1958,mw_1959,mw_1960,mw_1961,mw_1962,mw_1963,mw_1964,mw_1965,mw_1966,mw_1967,mw_1968,mw_1969,mw_1970,mw_1971,mw_1972,mw_1973,mw_1974,mw_1975,mw_1976,mw_1977,mw_1978,mw_1979,mw_1980,mw_1981,mw_1982,mw_1983,mw_1984,mw_1985,mw_1986,mw_1987,mw_1988,mw_1989,mw_1990,mw_1991,mw_1992,mw_1993,mw_1994,mw_1995,mw_1996,mw_1997,mw_1998,mw_1999,mw_2000,mw_2001,mw_2002,mw_2003,mw_2004,mw_2005,mw_2006,mw_2007,mw_2008,mw_2009,mw_2010,mw_2011,mw_2012,mw_2013,mw_2014,mw_2015,mw_2016,mw_2017,mw_2018,mw_2019,mw_2020,mw_2021,mw_2022,mw_2023,mw_2024,mw_2025
LOCAL-CA-052,"San Francisco, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2003. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-053,"San Jose, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-054,"San Leandro, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-055,"San Mateo, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,13.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-057,"Santa Clara, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-060,"Santa Monica, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,13.25,14.25,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-061,"Santa Rosa, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,13.0
LOCAL-CA-063,"Sonoma, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,16.0,17.0,17.0,17.0,17.0
LOCAL-CA-064,"South San Francisco, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-065,"Sunnyvale, CA",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,11.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-069,"West Hollywood, CA44",CA,California,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2021. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,17.5,17.5,17.5,17.5
LOCAL-CO-007,"Boulder, CO",CO,Colorado,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2024. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42,16.82
LOCAL-CO-015,"Denver, CO",CO,Colorado,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2019. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,14.77,15.87,15.87,15.87,15.87,15.87
LOCAL-CO-017,"Edgewater, CO",CO,Colorado,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2023. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65,16.52,18.17
LOCAL-DC-068,Washington D.C.,DC,Washington D.C.,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2013. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,10.5,11.5,12.5,13.25,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-IL-011,"Chicago, IL",IL,Illinois,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,10.5,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
LOCAL-ME-043,"Portland, ME (2015; amended by initiative 11/2020)28,",ME,Maine,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,10.68,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0
LOCAL-ME-048,"Rockland, ME",ME,Maine,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2020. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15,12.15,14.0,15.0,15.0,15.0
LOCAL-MN-035,"Minneapolis, MN16",MN,Minnesota,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2017. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,12.25,13.25,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-MN-049,"Saint Paul, MN31",MN,Minnesota,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2018. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-NM-002,"Albuquerque, NM",NM,New Mexico,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2012. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
LOCAL-NM-028,"Las Cruces, NM",NM,New Mexico,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.2,9.2,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1
LOCAL-NM-058,"Santa Fe, NM",NM,New Mexico,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2003. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
LOCAL-WA-003,"Bellingham, WA",WA,Washington,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2023. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84,16.84,16.84
LOCAL-WA-009,"Burien, WA2",WA,Washington,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2024. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,17.25
LOCAL-WA-020,"Everett, WA",WA,Washington,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2024. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66,16.66
LOCAL-WA-046,"Renton, WA",WA,Washington,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2024. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28,16.28
LOCAL-WA-062,"Seattle, WA40",WA,Washington,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-WA-067,"Tukwila, WA42",WA,Washington,City,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2022. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,15.74,15.74,15.74
LOCAL-CA-031,"Los Angeles County, CA",CA,California,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2015. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,13.25,14.25,15.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-CA-056,"San Mateo County, CA",CA,California,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2022. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,15.5,15.5,15.5
LOCAL-CO-008,"Boulder County, CO",CO,Colorado,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2023. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65,16.57,17.99
LOCAL-IL-012,"Cook County, IL",IL,Illinois,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2016. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
LOCAL-MD-026,"Howard County, MD9",MD,Maryland,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2021. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,15.0,16.0,16.0,16.0
LOCAL-MD-036,"Montgomery County, MD 18, 19",MD,Maryland,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2017. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0
LOCAL-MD-044,"Prince George's County, MD",MD,Maryland,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2013. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,9.55,10.75,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
LOCAL-NM-006,"Bernalillo County, NM",NM,New Mexico,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2013. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
LOCAL-NM-059,"Santa Fe County, NM",NM,New Mexico,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2014. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
LOCAL-WA-027,"King County, WA",WA,Washington,County,UC Berkeley Center for Labor Research and Education — Inventory of Local Minimum Wage Ordinances,https://laborcenter.berkeley.edu/minimum-wage-living-wage-resources/,For informational/research purposes; attribution required,Local ordinance. Enacted ~2024. Wages are scheduled steps from UCB inventory; forward-filled. Confirm with locality for current rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,17.25
